# This file produced by program: "write_detector_layout.pro"
title,Maia 384 Si array
N,     384,Number of detectors
Start,       0,Start at this # (default: detector numbers start at 0)
Shape,       1,Shape of detectors (0=circular, 1=square)
Symmetry,       4,Detector array symmetry steps for 360 degree (default is 4)
Reorient,       0,Re-orient or rotate by "reorient*360/symmetry" degrees
MirrorX,       0,Mirror the layout in X
MirrorY,       0,Mirror the layout in Y
Veto,       0,Veto channels with excessive FWHM
Threshold,      250.000,FWHM threshold (eV)
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
  82,  -0.481,   7.303,   0.000,   0.864,   0.619,   0.000,  0,   0.000,    2,    0,    5,    9,    2
  74,   0.481,   7.303,   0.000,   0.864,   0.619,   0.000,  0,   0.000,    2,    0,    5,   10,    2
  66,   1.456,   7.303,   0.000,   0.829,   0.619,   0.000,  0,   0.000,    2,    0,    5,   11,    2
  61,   2.430,   7.303,   0.000,   0.794,   0.619,   0.000,  0,   0.000,    1,    0,    6,   12,    2
  54,   3.405,   7.303,   0.000,   0.759,   0.619,   0.000,  0,   0.000,    1,    0,    6,   13,    2
  41,   4.379,   7.303,   0.000,   0.724,   0.619,   0.000,  0,   0.000,    1,    0,    7,   14,    2
  34,   5.354,   7.303,   0.000,   0.689,   0.619,   0.000,  0,   0.000,    1,    0,    7,   15,    2
  29,   6.328,   7.303,   0.000,   0.654,   0.619,   0.000,  0,   0.000,    0,    0,    8,   16,    2
  21,   7.303,   7.303,   0.000,   0.619,   0.619,   0.000,  0,   0.000,    0,    0,    8,   17,    2
  13,   8.277,   7.303,   0.000,   0.583,   0.619,   0.000,  0,   0.000,    0,    0,    9,   18,    2
   5,   9.252,   7.303,   0.000,   0.548,   0.619,   0.000,  0,   0.000,    0,    0,   10,   19,    2
 319,  -9.252,   6.328,   0.000,   0.548,   0.654,   0.000,  0,   0.000,    9,    3,    9,    0,    3
 318,  -8.277,   6.328,   0.000,   0.583,   0.654,   0.000,  0,   0.000,    9,    3,    8,    1,    3
 317,  -7.303,   6.328,   0.000,   0.619,   0.654,   0.000,  0,   0.000,    9,    3,    8,    2,    3
 316,  -6.328,   6.328,   0.000,   0.654,   0.654,   0.000,  0,   0.000,    9,    3,    7,    3,    3
 315,  -5.354,   6.328,   0.000,   0.689,   0.654,   0.000,  0,   0.000,    9,    3,    6,    4,    3
 314,  -4.379,   6.328,   0.000,   0.724,   0.654,   0.000,  0,   0.000,    9,    3,    6,    5,    3
 313,  -3.405,   6.328,   0.000,   0.759,   0.654,   0.000,  0,   0.000,    9,    3,    5,    6,    3
