"# This file produced by program: ""write_detector_layout.pro""",,,,,,, ,,,,,,
title,Maia 384 Si array,,,,,,,,,,,,
N,384,Number of detectors,,,,,,,,,,,
Start,0,Start at this # (default: detector numbers start at 0),,,,,,,,,,,
Shape,1,Shape of detectors (0=circular, 1=square),,,,,,,,,,
Symmetry,4,Detector array symmetry steps for 360 degree (default is 4),,,,,,,,,,,
Reorient,0,"Re-orient or rotate by ""reorient*360/symmetry"" degrees",,,,,,,,,,,
MirrorX,0,Mirror the layout in X,,,,,,,,,,,
MirrorY,0,Mirror the layout in Y,,,,,,,,,,,
Veto,0,Veto channels with excessive FWHM,,,,,,,,,,,
Threshold,250,FWHM threshold (eV),,,,,,,,,,,
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
59,3.405,6.328,0,0.759,0.654,0,0,0,1,0,6,13,3
36,4.379,6.328,0,0.724,0.654,0,0,0,1,0,7,14,3
40,5.354,6.328,0,0.689,0.654,0,0,0,1,0,7,15,3
23,6.328,6.328,0,0.654,0.654,0,0,0,0,0,8,16,3
19,7.303,6.328,0,0.619,0.654,0,0,0,0,0,9,17,3
5,8.277,6.328,0,0.583,0.654,0,0,0,0,0,9,18,3
1,9.252,6.328,0,0.548,0.654,0,0,0,0,0,10,19,3
326,-9.252,5.354,0,0.548,0.689,0,0,0,10,3,10,0,4
327,-8.277,5.354,0,0.583,0.689,0,0,0,10,3,9,1,4
320,-7.303,5.354,0,0.619,0.689,0,0,0,10,3,8,2,4
328,-6.328,5.354,0,0.654,0.689,0,0,0,10,3,7,3,4
321,-5.354,5.354,0,0.689,0.689,0,0,0,10,3,7,4,4
329,-4.379,5.354,0,0.724,0.689,0,0,0,10,3,6,5,4
322,-3.405,5.354,0,0.759,0.689,0,0,0,10,3,5,6,4
330,-2.43,5.354,0,0.794,0.689,0,0,0,10,3,5,7,4
87,-1.456,5.354,0,0.829,0.689,0,0,0,2,0,5,8,4
83,-0.481,5.354,0,0.864,0.689,0,0,0,2,0,4,9,4
69,0.481,5.354,0,0.864,0.689,0,0,0,2,0,4,10,4
65,1.456,5.354,0,0.829,0.689,0,0,0,2,0,5,11,4
62,2.43,5.354,0,0.794,0.689,0,0,0,1,0,5,12,4
51,3.405,5.354,0,0.759,0.689,0,0,0,1,0,5,13,4
44,4.379,5.354,0,0.724,0.689,0,0,0,1,0,6,14,4
33,5.354,5.354,0,0.689,0.689,0,0,0,1,0,7,15,4
30,6.328,5.354,0,0.654,0.689,0,0,0,0,0,7,16,4
26,7.303,5.354,0,0.619,0.689,0,0,0,0,0,8,17,4
12,8.277,5.354,0,0.583,0.689,0,0,0,0,0,9,18,4
8,9.252,5.354,0,0.548,0.689,0,0,0,0,0,10,19,4
335,-9.252,4.379,0,0.548,0.724,0,0,0,10,3,9,0,5
323,-8.277,4.379,0,0.583,0.724,0,0,0,10,3,8,1,5
331,-7.303,4.379,0,0.619,0.724,0,0,0,10,3,8,2,5
324,-6.328,4.379,0,0.654,0.724,0,0,0,10,3,7,3,5
332,-5.354,4.379,0,0.689,0.724,0,0,0,10,3,6,4,5
325,-4.379,4.379,0,0.724,0.724,0,0,0,10,3,5,5,5
333,-3.405,4.379,0,0.759,0.724,0,0,0,10,3,5,6,5
334,-2.43,4.379,0,0.794,0.724,0,0,0,10,3,4,7,5
95,-1.456,4.379,0,0.829,0.724,0,0,0,2,0,4,8,5
91,-0.481,4.379,0,0.864,0.724,0,0,0,2,0,3,9,5
77,0.481,4.379,0,0.864,0.724,0,0,0,2,0,3,10,5
73,1.456,4.379,0,0.829,0.724,0,0,0,2,0,4,11,5
54,2.43,4.379,0,0.794,0.724,0,0,0,1,0,4,12,5
58,3.405,4.379,0,0.759,0.724,0,0,0,1,0,5,13,5
37,4.379,4.379,0,0.724,0.724,0,0,0,1,0,5,14,5
41,5.354,4.379,0,0.689,0.724,0,0,0,1,0,6,15,5
22,6.328,4.379,0,0.654,0.724,0,0,0,0,0,7,16,5
18,7.303,4.379,0,0.619,0.724,0,0,0,0,0,8,17,5
4,8.277,4.379,0,0.583,0.724,0,0,0,0,0,8,18,5
0,9.252,4.379,0,0.548,0.724,0,0,0,0,0,9,19,5
336,-9.252,3.405,0,0.548,0.759,0,0,0,10,3,9,0,6
348,-8.277,3.405,0,0.583,0.759,0,0,0,10,3,8,1,6
340,-7.303,3.405,0,0.619,0.759,0,0,0,10,3,7,2,6
347,-6.328,3.405,0,0.654,0.759,0,0,0,10,3,6,3,6
339,-5.354,3.405,0,0.689,0.759,0,0,0,10,3,5,4,6
346,-4.379,3.405,0,0.724,0.759,0,0,0,10,3,5,5,6
338,-3.405,3.405,0,0.759,0.759,0,0,0,10,3,4,6,6
337,-2.43,3.405,0,0.794,0.759,0,0,0,10,3,3,7,6
88,-1.456,3.405,0,0.829,0.759,0,0,0,2,0,3,8,6
84,-0.481,3.405,0,0.864,0.759,0,0,0,2,0,2,9,6
78,0.481,3.405,0,0.864,0.759,0,0,0,2,0,2,10,6
66,1.456,3.405,0,0.829,0.759,0,0,0,2,0,3,11,6
61,2.43,3.405,0,0.794,0.759,0,0,0,1,0,3,12,6
50,3.405,3.405,0,0.759,0.759,0,0,0,1,0,4,13,6
45,4.379,3.405,0,0.724,0.759,0,0,0,1,0,5,14,6
34,5.354,3.405,0,0.689,0.759,0,0,0,1,0,5,15,6
29,6.328,3.405,0,0.654,0.759,0,0,0,0,0,6,16,6
17,7.303,3.405,0,0.619,0.759,0,0,0,0,0,7,17,6
11,8.277,3.405,0,0.583,0.759,0,0,0,0,0,8,18,6
7,9.252,3.405,0,0.548,0.759,0,0,0,0,0,9,19,6
345,-9.252,2.43,0,0.548,0.794,0,0,0,10,3,9,0,7
344,-8.277,2.43,0,0.583,0.794,0,0,0,10,3,8,1,7
351,-7.303,2.43,0,0.619,0.794,0,0,0,10,3,7,2,7
343,-6.328,2.43,0,0.654,0.794,0,0,0,10,3,6,3,7
350,-5.354,2.43,0,0.689,0.794,0,0,0,10,3,5,4,7
342,-4.379,2.43,0,0.724,0.794,0,0,0,10,3,4,5,7
349,-3.405,2.43,0,0.759,0.794,0,0,0,10,3,3,6,7
341,-2.43,2.43,0,0.794,0.794,0,0,0,10,3,2,7,7
89,-1.456,2.43,0,0.829,0.794,0,0,0,2,0,2,8,7
92,-0.481,2.43,0,0.864,0.794,0,0,0,2,0,1,9,7
79,0.481,2.43,0,0.864,0.794,0,0,0,2,0,1,10,7
74,1.456,2.43,0,0.829,0.794,0,0,0,2,0,2,11,7
53,2.43,2.43,0,0.794,0.794,0,0,0,1,0,2,12,7
49,3.405,2.43,0,0.759,0.794,0,0,0,1,0,3,13,7
46,4.379,2.43,0,0.724,0.794,0,0,0,1,0,4,14,7
42,5.354,2.43,0,0.689,0.794,0,0,0,1,0,5,15,7
21,6.328,2.43,0,0.654,0.794,0,0,0,0,0,6,16,7
16,7.303,2.43,0,0.619,0.794,0,0,0,0,0,7,17,7
3,8.277,2.43,0,0.583,0.794,0,0,0,0,0,8,18,7
6,9.252,2.43,0,0.548,0.794,0,0,0,0,0,9,19,7
358,-9.252,1.456,0,0.548,0.829,0,0,0,11,3,8,0,8
359,-8.277,1.456,0,0.583,0.829,0,0,0,11,3,7,1,8
352,-7.303,1.456,0,0.619,0.829,0,0,0,11,3,6,2,8
