"# This file produced by program: ""write_detector_layout.pro""",,,,,,, ,,,,,,
title,Maia 384 Si array,,,,,,,,,,,,
N,384,Number of detectors,,,,,,,,,,,
Start,0,Start at this # (default: detector numbers start at 0),,,,,,,,,,,
Shape,1,Shape of detectors (0=circular, 1=square),,,,,,,,,,
Symmetry,4,Detector array symmetry steps for 360 degree (default is 4),,,,,,,,,,,
Reorient,0,"Re-orient or rotate by ""reorient*360/symmetry"" degrees",,,,,,,,,,,
MirrorX,0,Mirror the layout in X,,,,,,,,,,,
MirrorY,0,Mirror the layout in Y,,,,,,,,,,,
Veto,0,Veto channels with excessive FWHM,,,,,,,,,,,
Threshold,250,FWHM threshold (eV),,,,,,,,,,,
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
130,3.405,-5.354,0,0.759,0.689,0,0,0,4,1,5,13,15
137,4.379,-5.354,0,0.724,0.689,0,0,0,4,1,6,14,15
129,5.354,-5.354,0,0.689,0.689,0,0,0,4,1,7,15,15
136,6.328,-5.354,0,0.654,0.689,0,0,0,4,1,7,16,15
128,7.303,-5.354,0,0.619,0.689,0,0,0,4,1,8,17,15
135,8.277,-5.354,0,0.583,0.689,0,0,0,4,1,9,18,15
134,9.252,-5.354,0,0.548,0.689,0,0,0,4,1,10,19,15
193,-9.252,-6.328,0,0.548,0.654,0,0,0,6,2,10,0,16
197,-8.277,-6.328,0,0.583,0.654,0,0,0,6,2,9,1,16
211,-7.303,-6.328,0,0.619,0.654,0,0,0,6,2,9,2,16
215,-6.328,-6.328,0,0.654,0.654,0,0,0,6,2,8,3,16
232,-5.354,-6.328,0,0.689,0.654,0,0,0,7,2,7,4,16
228,-4.379,-6.328,0,0.724,0.654,0,0,0,7,2,7,5,16
251,-3.405,-6.328,0,0.759,0.654,0,0,0,7,2,6,6,16
247,-2.43,-6.328,0,0.794,0.654,0,0,0,7,2,6,7,16
264,-1.456,-6.328,0,0.829,0.654,0,0,0,8,2,5,8,16
268,-0.481,-6.328,0,0.864,0.654,0,0,0,8,2,5,9,16
282,0.481,-6.328,0,0.864,0.654,0,0,0,8,2,5,10,16
286,1.456,-6.328,0,0.829,0.654,0,0,0,8,2,5,11,16
117,2.43,-6.328,0,0.794,0.654,0,0,0,3,1,6,12,16
125,3.405,-6.328,0,0.759,0.654,0,0,0,3,1,6,13,16
118,4.379,-6.328,0,0.724,0.654,0,0,0,3,1,7,14,16
126,5.354,-6.328,0,0.689,0.654,0,0,0,3,1,7,15,16
119,6.328,-6.328,0,0.654,0.654,0,0,0,3,1,8,16,16
127,7.303,-6.328,0,0.619,0.654,0,0,0,3,1,9,17,16
120,8.277,-6.328,0,0.583,0.654,0,0,0,3,1,9,18,16
121,9.252,-6.328,0,0.548,0.654,0,0,0,3,1,10,19,16
201,-9.252,-7.303,0,0.548,0.619,0,0,0,6,2,11,0,17
205,-8.277,-7.303,0,0.583,0.619,0,0,0,6,2,10,1,17
219,-7.303,-7.303,0,0.619,0.619,0,0,0,6,2,9,2,17
223,-6.328,-7.303,0,0.654,0.619,0,0,0,6,2,9,3,17
224,-5.354,-7.303,0,0.689,0.619,0,0,0,7,2,8,4,17
235,-4.379,-7.303,0,0.724,0.619,0,0,0,7,2,8,5,17
244,-3.405,-7.303,0,0.759,0.619,0,0,0,7,2,7,6,17
255,-2.43,-7.303,0,0.794,0.619,0,0,0,7,2,7,7,17
256,-1.456,-7.303,0,0.829,0.619,0,0,0,8,2,6,8,17
260,-0.481,-7.303,0,0.864,0.619,0,0,0,8,2,6,9,17
274,0.481,-7.303,0,0.864,0.619,0,0,0,8,2,6,10,17
278,1.456,-7.303,0,0.829,0.619,0,0,0,8,2,6,11,17
112,2.43,-7.303,0,0.794,0.619,0,0,0,3,1,7,12,17
113,3.405,-7.303,0,0.759,0.619,0,0,0,3,1,7,13,17
114,4.379,-7.303,0,0.724,0.619,0,0,0,3,1,8,14,17
122,5.354,-7.303,0,0.689,0.619,0,0,0,3,1,8,15,17
115,6.328,-7.303,0,0.654,0.619,0,0,0,3,1,9,16,17
123,7.303,-7.303,0,0.619,0.619,0,0,0,3,1,9,17,17
116,8.277,-7.303,0,0.583,0.619,0,0,0,3,1,10,18,17
124,9.252,-7.303,0,0.548,0.619,0,0,0,3,1,11,19,17
194,-9.252,-8.277,0,0.548,0.583,0,0,0,6,2,11,0,18
206,-8.277,-8.277,0,0.583,0.583,0,0,0,6,2,11,1,18
212,-7.303,-8.277,0,0.619,0.583,0,0,0,6,2,10,2,18
216,-6.328,-8.277,0,0.654,0.583,0,0,0,6,2,9,3,18
231,-5.354,-8.277,0,0.689,0.583,0,0,0,7,2,9,4,18
227,-4.379,-8.277,0,0.724,0.583,0,0,0,7,2,8,5,18
252,-3.405,-8.277,0,0.759,0.583,0,0,0,7,2,8,6,18
248,-2.43,-8.277,0,0.794,0.583,0,0,0,7,2,8,7,18
263,-1.456,-8.277,0,0.829,0.583,0,0,0,8,2,7,8,18
267,-0.481,-8.277,0,0.864,0.583,0,0,0,8,2,7,9,18
273,0.481,-8.277,0,0.864,0.583,0,0,0,8,2,7,10,18
285,1.456,-8.277,0,0.829,0.583,0,0,0,8,2,7,11,18
99,2.43,-8.277,0,0.794,0.583,0,0,0,3,1,8,12,18
107,3.405,-8.277,0,0.759,0.583,0,0,0,3,1,8,13,18
100,4.379,-8.277,0,0.724,0.583,0,0,0,3,1,8,14,18
108,5.354,-8.277,0,0.689,0.583,0,0,0,3,1,9,15,18
101,6.328,-8.277,0,0.654,0.583,0,0,0,3,1,9,16,18
109,7.303,-8.277,0,0.619,0.583,0,0,0,3,1,10,17,18
110,8.277,-8.277,0,0.583,0.583,0,0,0,3,1,11,18,18
111,9.252,-8.277,0,0.548,0.583,0,0,0,3,1,11,19,18
202,-9.252,-9.252,0,0.548,0.548,0,0,0,6,2,12,0,19
207,-8.277,-9.252,0,0.583,0.548,0,0,0,6,2,11,1,19
220,-7.303,-9.252,0,0.619,0.548,0,0,0,6,2,11,2,19
217,-6.328,-9.252,0,0.654,0.548,0,0,0,6,2,10,3,19
230,-5.354,-9.252,0,0.689,0.548,0,0,0,7,2,10,4,19
239,-4.379,-9.252,0,0.724,0.548,0,0,0,7,2,9,5,19
240,-3.405,-9.252,0,0.759,0.548,0,0,0,7,2,9,6,19
249,-2.43,-9.252,0,0.794,0.548,0,0,0,7,2,9,7,19
262,-1.456,-9.252,0,0.829,0.548,0,0,0,8,2,8,8,19
259,-0.481,-9.252,0,0.864,0.548,0,0,0,8,2,8,9,19
272,0.481,-9.252,0,0.864,0.548,0,0,0,8,2,8,10,19
277,1.456,-9.252,0,0.829,0.548,0,0,0,8,2,8,11,19
102,2.43,-9.252,0,0.794,0.548,0,0,0,3,1,9,12,19
103,3.405,-9.252,0,0.759,0.548,0,0,0,3,1,9,13,19
96,4.379,-9.252,0,0.724,0.548,0,0,0,3,1,9,14,19
104,5.354,-9.252,0,0.689,0.548,0,0,0,3,1,10,15,19
97,6.328,-9.252,0,0.654,0.548,0,0,0,3,1,10,16,19
105,7.303,-9.252,0,0.619,0.548,0,0,0,3,1,11,17,19
98,8.277,-9.252,0,0.583,0.548,0,0,0,3,1,11,18,19
106,9.252,-9.252,0,0.548,0.548,0,0,0,3,1,12,19,19
