#
# XOS supplied transmission (axial?) for MM polycapillary.
# Modified by extra fall-off term: exp(-0.19*( (E > 10.) - 10.))
#
# Model name for droplist ...
XOS MaiaMapper 1
#
# Gain, Energy (for gain), relative to Pinhole (mm), pinhole distance (mm):
21000., 17.4, 0.025, 100.0
#
# Beam diameter at exit (mm), focus spot (mm), focal distance (mm)
2.0, 0.03, 14.0
#
# Transmission versus E (keV) table ...
  61.380, 6.6320E-06
  61.710, 5.6125E-06
  62.040, 4.6924E-06
  62.370, 3.8633E-06
  62.700, 3.1178E-06
  63.030, 2.4485E-06
  63.360, 1.8491E-06
  63.690, 1.3136E-06
  64.020, 8.3624E-07
  64.350, 4.1209E-07
  64.680, 3.6418E-08
  65.010,-2.9512E-07
  65.340,-5.8650E-07
  65.670,-8.4137E-07
  66.000,-1.0631E-06
  66.330,-1.2548E-06
  66.660,-1.4192E-06
  66.990,-1.5590E-06
  67.320,-1.6766E-06
  67.650,-1.7741E-06
  67.980,-1.8536E-06
  68.310,-1.9169E-06
  68.640,-1.9656E-06
  68.970,-2.0014E-06
  69.300,-2.0255E-06
  69.630,-2.0393E-06
  69.960,-2.0439E-06
  70.290,-2.0405E-06
  70.620,-2.0299E-06
  70.950,-2.0131E-06
  71.280,-1.9908E-06
  71.610,-1.9638E-06
  71.940,-1.9327E-06
  72.270,-1.8981E-06
  72.600,-1.8606E-06
  72.930,-1.8207E-06
  73.260,-1.7787E-06
  73.590,-1.7351E-06
  73.920,-1.6903E-06
  74.250,-1.6444E-06
  74.580,-1.5980E-06
  74.910,-1.5510E-06
  75.240,-1.5039E-06
  75.570,-1.4568E-06
  75.900,-1.4099E-06
  76.230,-1.3633E-06
  76.560,-1.3171E-06
  76.890,-1.2715E-06
  77.220,-1.2266E-06
  77.550,-1.1825E-06
  77.880,-1.1391E-06
  78.210,-1.0967E-06
  78.540,-1.0553E-06
  78.870,-1.0148E-06
  79.200,-9.7533E-07
  79.530,-9.3692E-07
  79.860,-8.9958E-07
  80.190,-8.6332E-07
  80.520,-8.2814E-07
  80.850,-7.9405E-07
  81.180,-7.6105E-07
  81.510,-7.2912E-07
  81.840,-6.9826E-07
  82.170,-6.6846E-07
  82.500,-6.3971E-07
  82.830,-6.1198E-07
  83.160,-5.8525E-07
  83.490,-5.5952E-07
  83.820,-5.3475E-07
  84.150,-5.1093E-07
  84.480,-4.8802E-07
  84.810,-4.6602E-07
  85.140,-4.4488E-07
  85.470,-4.2459E-07
  85.800,-4.0513E-07
  86.130,-3.8646E-07
  86.460,-3.6857E-07
  86.790,-3.5142E-07
  87.120,-3.3500E-07
  87.450,-3.1927E-07
  87.780,-3.0422E-07
  88.110,-2.8982E-07
  88.440,-2.7605E-07
  88.770,-2.6288E-07
  89.100,-2.5029E-07
  89.430,-2.3826E-07
  89.760,-2.2677E-07
  90.090,-2.1579E-07
  90.420,-2.0531E-07
  90.750,-1.9531E-07
  91.080,-1.8576E-07
  91.410,-1.7666E-07
  91.740,-1.6797E-07
  92.070,-1.5969E-07
  92.400,-1.5179E-07
  92.730,-1.4427E-07
  93.060,-1.3710E-07
  93.390,-1.3026E-07
  93.720,-1.2376E-07
  94.050,-1.1756E-07
  94.380,-1.1165E-07
  94.710,-1.0603E-07
  95.040,-1.0069E-07
  95.370,-9.5596E-08
  95.700,-9.0753E-08
  96.030,-8.6145E-08
  96.360,-8.1762E-08
  96.690,-7.7594E-08
  97.020,-7.3630E-08
  97.350,-6.9862E-08
  97.680,-6.6280E-08
  98.010,-6.2875E-08
  98.340,-5.9639E-08
  98.670,-5.6564E-08
