# This file produced by program: "write_detector_layout.pro"
title,Maia 96 prototype Si array
N,      96,Number of detectors
Start,       0,Start at this # (default: detector numbers start at 0)
Shape,       1,Shape of detectors (0=circular, 1=square)
Symmetry,       4,Detector array symmetry steps for 360 degree (default is 4)
Reorient,       1,Re-orient or rotate by "reorient*360/symmetry" degrees
MirrorX,       0,Mirror the layout in X
MirrorY,       0,Mirror the layout in Y
Veto,       0,Veto channels with excessive FWHM
Threshold,      250.000,FWHM threshold (eV)
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
  26,  -4.500,  -0.500,   0.000,   0.940,   0.910,   0.000,  0,   0.000,    0,    0,    4,    1,    4
  12,  -3.500,  -0.500,   0.000,   0.940,   0.910,   0.000,  0,   0.000,    0,    0,    3,    2,    4
   8,  -2.500,  -0.500,   0.000,   0.940,   0.917,   0.000,  0,   0.000,    0,    0,    2,    3,    4
  62,  -1.500,  -0.500,   0.000,   0.940,   0.931,   0.000,  0,   0.000,    1,    0,    1,    4,    4
  51,  -0.500,  -0.500,   0.000,   0.940,   0.938,   0.000,  0,   0.000,    1,    0,    0,    5,    4
  44,   0.500,  -0.500,   0.000,   0.940,   0.938,   0.000,  0,   0.000,    1,    0,    0,    6,    4
  33,   1.500,  -0.500,   0.000,   0.940,   0.931,   0.000,  0,   0.000,    1,    0,    1,    7,    4
  87,   2.500,  -0.500,   0.000,   0.940,   0.917,   0.000,  0,   0.000,    2,    0,    2,    8,    4
  83,   3.500,  -0.500,   0.000,   0.940,   0.910,   0.000,  0,   0.000,    2,    0,    3,    9,    4
  69,   4.500,  -0.500,   0.000,   0.940,   0.910,   0.000,  0,   0.000,    2,    0,    4,   10,    4
  65,   5.500,  -0.500,   0.000,   0.940,   0.903,   0.000,  0,   0.000,    2,    0,    5,   11,    4
  22,  -5.500,  -1.500,   0.000,   0.930,   0.903,   0.000,  0,   0.000,    0,    0,    5,    0,    5
  18,  -4.500,  -1.500,   0.000,   0.930,   0.910,   0.000,  0,   0.000,    0,    0,    4,    1,    5
   4,  -3.500,  -1.500,   0.000,   0.930,   0.910,   0.000,  0,   0.000,    0,    0,    3,    2,    5
   0,  -2.500,  -1.500,   0.000,   0.930,   0.917,   0.000,  0,   0.000,    0,    0,    2,    3,    5
  54,  -1.500,  -1.500,   0.000,   0.930,   0.931,   0.000,  0,   0.000,    1,    0,    1,    4,    5
  58,  -0.500,  -1.500,   0.000,   0.930,   0.938,   0.000,  0,   0.000,    1,    0,    1,    5,    5
  37,   0.500,  -1.500,   0.000,   0.930,   0.938,   0.000,  0,   0.000,    1,    0,    1,    6,    5
  41,   1.500,  -1.500,   0.000,   0.930,   0.931,   0.000,  0,   0.000,    1,    0,    1,    7,    5
  95,   2.500,  -1.500,   0.000,   0.930,   0.917,   0.000,  0,   0.000,    2,    0,    2,    8,    5
  91,   3.500,  -1.500,   0.000,   0.930,   0.910,   0.000,  0,   0.000,    2,    0,    3,    9,    5
  77,   4.500,  -1.500,   0.000,   0.930,   0.910,   0.000,  0,   0.000,    2,    0,    4,   10,    5
  73,   5.500,  -1.500,   0.000,   0.930,   0.903,   0.000,  0,   0.000,    2,    0,    5,   11,    5
  29,  -5.500,  -2.500,   0.000,   0.920,   0.903,   0.000,  0,   0.000,    0,    0,    5,    0,    6
  17,  -4.500,  -2.500,   0.000,   0.920,   0.910,   0.000,  0,   0.000,    0,    0,    4,    1,    6
  11,  -3.500,  -2.500,   0.000,   0.920,   0.910,   0.000,  0,   0.000,    0,    0,    3,    2,    6
   7,  -2.500,  -2.500,   0.000,   0.920,   0.917,   0.000,  0,   0.000,    0,    0,    3,    3,    6
  61,  -1.500,  -2.500,   0.000,   0.920,   0.931,   0.000,  0,   0.000,    1,    0,    2,    4,    6
  50,  -0.500,  -2.500,   0.000,   0.920,   0.938,   0.000,  0,   0.000,    1,    0,    2,    5,    6
  45,   0.500,  -2.500,   0.000,   0.920,   0.938,   0.000,  0,   0.000,    1,    0,    2,    6,    6
  34,   1.500,  -2.500,   0.000,   0.920,   0.931,   0.000,  0,   0.000,    1,    0,    2,    7,    6
  88,   2.500,  -2.500,   0.000,   0.920,   0.917,   0.000,  0,   0.000,    2,    0,    3,    8,    6
  84,   3.500,  -2.500,   0.000,   0.920,   0.910,   0.000,  0,   0.000,    2,    0,    3,    9,    6
  78,   4.500,  -2.500,   0.000,   0.920,   0.910,   0.000,  0,   0.000,    2,    0,    4,   10,    6
  66,   5.500,  -2.500,   0.000,   0.920,   0.903,   0.000,  0,   0.000,    2,    0,    5,   11,    6
  21,  -5.500,  -3.500,   0.000,   0.915,   0.903,   0.000,  0,   0.000,    0,    0,    6,    0,    7
  16,  -4.500,  -3.500,   0.000,   0.915,   0.910,   0.000,  0,   0.000,    0,    0,    5,    1,    7
   3,  -3.500,  -3.500,   0.000,   0.915,   0.910,   0.000,  0,   0.000,    0,    0,    4,    2,    7
   6,  -2.500,  -3.500,   0.000,   0.915,   0.917,   0.000,  0,   0.000,    0,    0,    3,    3,    7
  53,  -1.500,  -3.500,   0.000,   0.915,   0.931,   0.000,  0,   0.000,    1,    0,    3,    4,    7
  49,  -0.500,  -3.500,   0.000,   0.915,   0.938,   0.000,  0,   0.000,    1,    0,    3,    5,    7
  46,   0.500,  -3.500,   0.000,   0.915,   0.938,   0.000,  0,   0.000,    1,    0,    3,    6,    7
  42,   1.500,  -3.500,   0.000,   0.915,   0.931,   0.000,  0,   0.000,    1,    0,    3,    7,    7
  89,   2.500,  -3.500,   0.000,   0.915,   0.917,   0.000,  0,   0.000,    2,    0,    3,    8,    7
  92,   3.500,  -3.500,   0.000,   0.915,   0.910,   0.000,  0,   0.000,    2,    0,    4,    9,    7
  79,   4.500,  -3.500,   0.000,   0.915,   0.910,   0.000,  0,   0.000,    2,    0,    5,   10,    7
  74,   5.500,  -3.500,   0.000,   0.915,   0.903,   0.000,  0,   0.000,    2,    0,    6,   11,    7
