# This file produced by program: "write_detector_layout.pro"
title,Maia 96 prototype Si array
N,      96,Number of detectors
Start,       0,Start at this # (default: detector numbers start at 0)
Shape,       1,Shape of detectors (0=circular, 1=square)
Symmetry,       4,Detector array symmetry steps for 360 degree (default is 4)
Reorient,       1,Re-orient or rotate by "reorient*360/symmetry" degrees
MirrorX,       0,Mirror the layout in X
MirrorY,       0,Mirror the layout in Y
Veto,       0,Veto channels with excessive FWHM
Threshold,      250.000,FWHM threshold (eV)
# ID, X,Y offsets from centre (mm), Z offset from planar (mm), Width, Height (mm), Tilt (degrees), bad (0=good 1=poor 2=dead), FWHM (eV), Hermes, Quadrant, Radial, Column, Row
Data, X, Y, Z, width, height, tilt, bad, FWHM, Hermes, Quadrant, Radial, Column, Row
  84,  -4.500,  -0.500,   0.000,   0.940,   0.910,   0.000,  0,   0.000,    2,    0,    4,    1,    4
  76,  -3.500,  -0.500,   0.000,   0.940,   0.910,   0.000,  0,   0.000,    2,    0,    3,    2,    4
  68,  -2.500,  -0.500,   0.000,   0.940,   0.917,   0.000,  0,   0.000,    2,    0,    2,    3,    4
  59,  -1.500,  -0.500,   0.000,   0.940,   0.931,   0.000,  0,   0.000,    1,    0,    1,    4,    4
  52,  -0.500,  -0.500,   0.000,   0.940,   0.938,   0.000,  0,   0.000,    1,    0,    0,    5,    4
  43,   0.500,  -0.500,   0.000,   0.940,   0.938,   0.000,  0,   0.000,    1,    0,    0,    6,    4
  36,   1.500,  -0.500,   0.000,   0.940,   0.931,   0.000,  0,   0.000,    1,    0,    1,    7,    4
  27,   2.500,  -0.500,   0.000,   0.940,   0.917,   0.000,  0,   0.000,    0,    0,    2,    8,    4
  19,   3.500,  -0.500,   0.000,   0.940,   0.910,   0.000,  0,   0.000,    0,    0,    3,    9,    4
  11,   4.500,  -0.500,   0.000,   0.940,   0.910,   0.000,  0,   0.000,    0,    0,    4,   10,    4
   3,   5.500,  -0.500,   0.000,   0.940,   0.903,   0.000,  0,   0.000,    0,    0,    5,   11,    4
  93,  -5.500,  -1.500,   0.000,   0.930,   0.903,   0.000,  0,   0.000,    2,    0,    5,    0,    5
  85,  -4.500,  -1.500,   0.000,   0.930,   0.910,   0.000,  0,   0.000,    2,    0,    4,    1,    5
  77,  -3.500,  -1.500,   0.000,   0.930,   0.910,   0.000,  0,   0.000,    2,    0,    3,    2,    5
  69,  -2.500,  -1.500,   0.000,   0.930,   0.917,   0.000,  0,   0.000,    2,    0,    2,    3,    5
  58,  -1.500,  -1.500,   0.000,   0.930,   0.931,   0.000,  0,   0.000,    1,    0,    1,    4,    5
  51,  -0.500,  -1.500,   0.000,   0.930,   0.938,   0.000,  0,   0.000,    1,    0,    1,    5,    5
  44,   0.500,  -1.500,   0.000,   0.930,   0.938,   0.000,  0,   0.000,    1,    0,    1,    6,    5
  37,   1.500,  -1.500,   0.000,   0.930,   0.931,   0.000,  0,   0.000,    1,    0,    1,    7,    5
  26,   2.500,  -1.500,   0.000,   0.930,   0.917,   0.000,  0,   0.000,    0,    0,    2,    8,    5
  18,   3.500,  -1.500,   0.000,   0.930,   0.910,   0.000,  0,   0.000,    0,    0,    3,    9,    5
  10,   4.500,  -1.500,   0.000,   0.930,   0.910,   0.000,  0,   0.000,    0,    0,    4,   10,    5
   2,   5.500,  -1.500,   0.000,   0.930,   0.903,   0.000,  0,   0.000,    0,    0,    5,   11,    5
  94,  -5.500,  -2.500,   0.000,   0.920,   0.903,   0.000,  0,   0.000,    2,    0,    5,    0,    6
