   5.874,  6.656, 7395.0,  117.5, 0.007684, 0.0173400, 3006.0,-13.1100,  4.9650,-0.67350, 0.039350,-0.0008425,  4.786    ,  78.96000
   5.611,  6.335, 8046.0,  365.2, 0.006244, 0.0178500, 2928.0,-13.4000,  5.0830,-0.69060, 0.040420,-0.0008675,  3.401    ,  79.90900
   6.411,  7.250, 8262.0,  220.0, 0.006087, 0.0183600, 2855.0,-13.6900,  5.2000,-0.70760, 0.041500,-0.0008925, 3.7410E-03,  83.80000
   5.694,  6.429, 8478.0,  292.9, 0.006087, 0.0188600, 2855.0,-13.9200,  5.2660,-0.71400, 0.041730,-0.0008943,  1.529    ,  85.46780
   6.339,  7.159, 8693.0,  330.3, 0.006003, 0.0193700, 2815.0,-14.1400,  5.3310,-0.72050, 0.041960,-0.0008962,  2.600    ,  87.62000
   6.407,  7.234, 8907.0,  367.8, 0.005889, 0.0198800, 2762.0,-14.3600,  5.3970,-0.72690, 0.042190,-0.0008980,  4.491    ,  88.90540
   6.734,  7.603, 9120.0,  405.2, 0.005765, 0.0203900, 2704.0,-14.5900,  5.4630,-0.73330, 0.042420,-0.0008998,  6.471    ,  91.22000
   6.902,  7.791, 9333.0,  442.7, 0.005587, 0.0209000, 2621.0,-16.2200,  6.0940,-0.82250, 0.047910,-0.0010240,  8.604    ,  92.90640
   6.425,  7.248, 9545.0,  480.2, 0.005367, 0.0214100, 2517.0,-17.8500,  6.7250,-0.91160, 0.053390,-0.0011480,  10.21    ,  95.94000
   6.799,  7.671, 9756.0,  517.6, 0.005315, 0.0219200, 2493.0,-17.9600,  6.7520,-0.91350, 0.053410,-0.0011470,  11.50    ,  98.90620
   6.108,  6.887, 9966.0,  555.1, 0.005151, 0.0224300, 2416.0,-18.0700,  6.7790,-0.91540, 0.053420,-0.0011450,  12.18    , 101.07000
   5.924,  6.677,10180.0,  592.5, 0.004919, 0.0229400, 2307.0,-18.1800,  6.8060,-0.91730, 0.053430,-0.0011430,  12.40    , 102.90550
   5.238,  5.900,10380.0,  630.0, 0.004758, 0.0234500, 2231.0,-18.2800,  6.8330,-0.91920, 0.053450,-0.0011420,  11.96    , 106.40000
   5.623,  6.354, 7160.0,  337.6, 0.013940, 0.0239600, 2193.0,-18.3900,  6.8600,-0.92110, 0.053460,-0.0011400,  10.47    , 107.86800
   5.814,  6.554,10800.0,  355.5, 0.004626, 0.0244700, 2170.0,-18.6200,  6.9150,-0.92430, 0.053400,-0.0011340,  8.582    , 112.40000
   6.230,  7.024,11010.0,  370.9, 0.004540, 0.0249800, 2129.0,-18.8500,  6.9690,-0.92750, 0.053350,-0.0011270,  7.315    , 114.82000
   6.410,  7.227,11210.0,  386.4, 0.004474, 0.0254900, 2099.0,-19.0700,  7.0240,-0.93080, 0.053290,-0.0011210,  7.283    , 118.69000
   7.500,  8.480, 8608.0,  348.0, 0.009074, 0.0260000, 2069.0,-19.5700,  7.2250,-0.96030, 0.055180,-0.0011650,  6.618    , 121.75000
   6.979,  7.871,11620.0,  392.4, 0.004402, 0.0265100, 2065.0,-20.0700,  7.4260,-0.98990, 0.057070,-0.0012090,  6.225    , 127.60000
   7.725,  8.716,11830.0,  394.8, 0.004376, 0.0270200, 2052.0,-20.5600,  7.6270,-1.01900, 0.058960,-0.0012540,  4.939    , 126.90440
   8.231,  9.289,12030.0,  397.3, 0.004384, 0.0275300, 2056.0,-21.0600,  7.8280,-1.04900, 0.060850,-0.0012980, 5.8610E-03, 131.30000
   7.287,  8.218,12230.0,  399.7, 0.004447, 0.0280400, 2086.0,-20.4000,  7.5400,-1.00400, 0.057820,-0.0012240,  1.899    , 132.90550
   7.899,  8.911,12430.0,  402.1, 0.004511, 0.0285500, 2116.0,-19.7400,  7.2520,-0.95880, 0.054790,-0.0011510,  3.522    , 137.34000
   8.041,  9.071,12630.0,  404.5, 0.004540, 0.0290600, 2129.0,-19.0800,  6.9640,-0.91360, 0.051760,-0.0010770,  6.175    , 138.90550
   7.489,  8.444,12830.0,  406.9, 0.004420, 0.0295700, 2073.0,-18.4300,  6.6770,-0.86840, 0.048720,-0.0010030,  6.673    , 140.12000
   7.291,  8.219,13030.0,  409.3, 0.004298, 0.0300800, 2016.0,-17.7700,  6.3890,-0.82330, 0.045690,-0.0009292,  6.775    , 140.90469
   7.098,  8.000,13230.0,  411.8, 0.004182, 0.0305900, 1962.0,-17.1100,  6.1010,-0.77810, 0.042660,-0.0008553,  7.003    , 144.24001
   6.910,  7.786,13430.0,  414.2, 0.004058, 0.0311000, 1903.0,-16.4500,  5.8130,-0.73300, 0.039630,-0.0007815,  7.220    , 145.00000
   6.728,  7.580,13620.0,  416.6, 0.003976, 0.0316100, 1865.0,-15.7900,  5.5260,-0.68780, 0.036600,-0.0007077,  7.557    , 150.35001
   6.551,  7.380,13820.0,  419.0, 0.003877, 0.0321200, 1819.0,-15.1300,  5.2380,-0.64260, 0.033570,-0.0006339,  5.259    , 151.96001
   6.739,  7.592,14020.0,  421.4, 0.003863, 0.0326300, 1812.0,-14.4700,  4.9500,-0.59750, 0.030530,-0.0005601,  7.903    , 157.25000
   6.212,  6.996,14210.0,  423.9, 0.003725, 0.0331400, 1747.0,-14.5600,  4.9840,-0.60220, 0.030820,-0.0005668,  8.279    , 158.92500
   5.517,  6.210,14400.0,  426.3, 0.003632, 0.0336500, 1703.0,-14.6500,  5.0180,-0.60690, 0.031110,-0.0005734,  8.554    , 162.50000
   5.219,  5.874,14600.0,  428.7, 0.003498, 0.0341600, 1640.0,-14.7400,  5.0510,-0.61170, 0.031410,-0.0005801,  8.821    , 164.93030
   5.071,  5.706,14790.0,  433.0, 0.003405, 0.0346700, 1597.0,-14.8300,  5.0850,-0.61640, 0.031700,-0.0005867,  9.092    , 167.25999
   4.926,  5.542,14980.0,  433.5, 0.003342, 0.0351800, 1567.0,-14.9100,  5.1190,-0.62110, 0.031990,-0.0005933,  9.335    , 168.93420
   4.787,  5.386,15170.0,  435.9, 0.003292, 0.0356900, 1544.0,-15.0000,  5.1530,-0.62580, 0.032280,-0.0006000,  6.979    , 173.03999
   4.893,  5.505,15360.0,  438.4, 0.003243, 0.0362000, 1521.0,-15.0900,  5.1860,-0.63050, 0.032570,-0.0006066,  9.831    , 174.97000
   5.028,  5.657,15550.0,  440.8, 0.003195, 0.0367100, 1499.0,-15.1800,  5.2200,-0.63530, 0.032860,-0.0006133,  13.13    , 178.49001
   4.738,  5.329,15740.0,  443.2, 0.003186, 0.0372200, 1494.0,-15.2700,  5.2540,-0.64000, 0.033150,-0.0006199,  16.60    , 180.94791
   4.574,  5.144,15930.0,  442.4, 0.003144, 0.0377300, 1475.0,-15.6700,  5.3920,-0.65770, 0.034180,-0.0006426,  19.29    , 183.85001
   5.200,  5.851,16120.0,  441.6, 0.003122, 0.0382400, 1464.0,-16.0700,  5.5290,-0.67550, 0.035210,-0.0006654,  21.04    , 186.20000
   5.070,  5.704,16300.0,  440.9, 0.003082, 0.0387500, 1446.0,-16.4700,  5.6670,-0.69320, 0.036240,-0.0006881,  22.57    , 190.20000
   4.945,  5.563,16490.0,  440.1, 0.002965, 0.0392600, 1390.0,-16.8800,  5.8040,-0.71100, 0.037270,-0.0007109,  22.51    , 192.22000
   4.476,  5.034,16670.0,  439.3, 0.002871, 0.0397700, 1347.0,-17.2800,  5.9420,-0.72870, 0.038300,-0.0007336,  21.44    , 195.09000
