     8.9490,   0.4304,  213.30,   5.0710,   1.2210,   8.821    ,  164.93030
    11.9400,   0.3783,  247.20,   6.6550,   0.8490,   9.092    ,  167.25999
     8.4720,   0.4405,  195.50,   4.0510,   1.6040,   9.335    ,  168.93420
     8.3010,   0.4399,  203.70,   3.6670,   1.4590,   6.979    ,  173.03999
     6.5670,   0.4858,  193.00,   2.6500,   1.6600,   9.831    ,  174.97000
     5.9510,   0.5016,  196.10,   2.6620,   1.5890,   13.13    ,  178.49001
     7.4950,   0.4523,  251.40,   3.4330,   0.8619,   16.60    ,  180.94791
     6.3350,   0.4825,  255.10,   2.8340,   0.8228,   19.29    ,  183.85001
     4.3140,   0.5558,  214.80,   2.3540,   1.2630,   21.04    ,  186.20000
     4.0200,   0.5681,  219.90,   2.4020,   1.1910,   22.57    ,  190.20000
     3.8360,   0.5765,  210.20,   2.7420,   1.3050,   22.51    ,  192.22000
     4.6800,   0.5247,  244.70,   2.7490,   0.8962,   21.44    ,  195.09000
     3.2230,   0.5883,  232.70,   2.9540,   1.0500,   19.31    ,  196.96651
     2.8920,   0.6204,  208.60,   2.4150,   1.4160,   13.56    ,  200.59000
     4.7280,   0.5522,  217.00,   3.0910,   1.3860,   11.88    ,  204.37000
     6.1800,   0.5200,  170.00,   4.0000,   3.2240,   11.32    ,  207.19000
     9.0000,   0.4700,  198.00,   3.8000,   2.0320,   9.813    ,  208.98061
     2.3240,   0.6997,  216.00,   1.5990,   1.3990,   9.253    ,  209.00000
     1.9610,   0.7286,  223.00,   1.6210,   1.2960,  5.8900E-03,  210.00000
     1.7500,   0.7427,  350.10,   0.9789,   0.5507,  9.9090E-03,  222.00000
    10.3100,   0.4613,  261.20,   4.7380,   0.9899,   5.000    ,  223.00000
     7.9620,   0.5190,  235.70,   4.3470,   1.3130,   5.023    ,  226.00000
     6.2270,   0.5645,  231.90,   3.9610,   1.3790,   10.07    ,  227.00000
     5.2460,   0.5947,  228.60,   4.0270,   1.4320,   11.66    ,  232.00000
     5.4080,   0.5811,  235.70,   3.9610,   1.3580,   15.40    ,  231.00000
     5.2180,   0.5828,  245.00,   3.8380,   1.2500,   19.05    ,  238.00000
